Renderer: opengl
sim+ink(parallel)=87.9003 ms, shade+present(parallel)=24.3412 ms
sim+ink(parallel)=80.9487 ms, shade+present(parallel)=25.3123 ms
sim+ink(parallel)=81.0583 ms, shade+present(parallel)=25.5758 ms
sim+ink(parallel)=79.4397 ms, shade+present(parallel)=25.3081 ms
sim+ink(parallel)=79.7758 ms, shade+present(parallel)=25.4628 ms
sim+ink(parallel)=80.7664 ms, shade+present(parallel)=29.8535 ms
FPS: 9
sim+ink(parallel)=104.485 ms, shade+present(parallel)=49.5595 ms
sim+ink(parallel)=86.5838 ms, shade+present(parallel)=25.5324 ms
sim+ink(parallel)=89.2394 ms, shade+present(parallel)=24.6023 ms
sim+ink(parallel)=85.4971 ms, shade+present(parallel)=26.7961 ms
sim+ink(parallel)=99.75 ms, shade+present(parallel)=24.7381 ms
sim+ink(parallel)=92.9546 ms, shade+present(parallel)=28.2202 ms
sim+ink(parallel)=86.4868 ms, shade+present(parallel)=32.0178 ms
sim+ink(parallel)=88.9383 ms, shade+present(parallel)=25.3396 ms
